time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
3200,2023-05-24 09:08:06,37.1814897209942,128.192823240565,1.312336,,,1285.2020073338,1.64042,0,0.37929463156,1.0368930778,15,5,16.915,1285.2020073338,1.312336,0.447388,0.39859909412,0,0,-0.894776,94.8, 0.1, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.2020073338,1.312336,11,AutoTakeoff,
3300,2023-05-24 09:08:06,37.1814897663291,128.192823232367,1.64042,,,1285.5300913338,1.64042,0,0.38265749256,1.05360239592,15,5,16.915,1285.5300913338,1.64042,0.447388,0.39859909412,0,0,-0.894776,94.9, 0, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.5300913338,1.64042,11,AutoTakeoff,
3400,2023-05-24 09:08:06,37.1814900301526,128.192822945529,1.64042,,,1285.5300913338,1.968504,0,0.35989830548,1.18095148136,15,5,16.915,1285.5300913338,1.64042,0.447388,0.39859909412,0,0,-0.894776,94.9, 0, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.5300913338,1.64042,11,AutoTakeoff,
3500,2023-05-24 09:08:06,37.1814901039408,128.192822908472,1.968504,,,1285.8581753338,1.968504,0,0.37020014308,1.20994754528,15,5,16.915,1285.8581753338,1.968504,0.447388,0.39859909412,0,0,-0.894776,94.9, 0, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.8581753338,1.968504,11,AutoTakeoff,
3600,2023-05-24 09:08:06,37.1814900155075,128.192822921834,1.968504,,,1285.8581753338,2.296588,0,0.35119095612,1.24244426548,15,5,16.915,1285.8581753338,1.968504,0.447388,0.39859909412,0,0,-1.11847,94.9, -0.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1285.8581753338,1.968504,11,AutoTakeoff,
3700,2023-05-24 09:08:06,37.1814900744524,128.192822894438,2.296588,,,1286.1862593338,2.296588,0,0.35976379104,1.26537733708,15,5,16.915,1286.1862593338,2.296588,0.447388,0.39859909412,0,0,-1.11847,95, -0.2, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.1862593338,2.296588,11,AutoTakeoff,
3800,2023-05-24 09:08:06,37.1814898011427,128.192822963835,2.296588,,,1286.1862593338,2.624672,0,0.316878947148,1.36711618548,15,5,16.915,1286.1862593338,2.296588,0.447388,0.39859909412,0,0,-1.11847,95, 0, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.1862593338,2.296588,11,AutoTakeoff,
3900,2023-05-24 09:08:06,37.1814898240146,128.192822958673,2.624672,,,1286.5143433338,2.624672,0,0.319610574532,1.37559387604,15,5,16.915,1286.5143433338,2.624672,0.447388,0.39859909412,0,0,-1.11847,95, 0.1, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.5143433338,2.624672,11,AutoTakeoff,
4000,2023-05-24 09:08:06,37.1814900530246,128.192823037317,2.624672,,,1286.5143433338,2.952756,0,0.38576772888,1.46221789456,15,5,16.915,1286.5143433338,2.624672,0.447388,0.39859909412,0,0,-1.11847,95, 0.5, 1.4,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.5143433338,2.624672,11,AutoTakeoff,
4100,2023-05-24 09:08:07,37.1814900819664,128.192823030239,2.952756,,,1286.8424273338,3.28084,0,0.39090552432,1.47297576892,15,5,16.915,1286.8424273338,2.952756,0.447388,0.39859909412,0,0,-0.894776,95.1, 0.7, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.8424273338,2.952756,11,AutoTakeoff,
4200,2023-05-24 09:08:07,37.1814902792314,128.192822884266,2.952756,,,1286.8424273338,3.28084,0,0.41329397648,1.55652564036,15,5,16.915,1286.8424273338,2.952756,0.447388,0.41329397648,0,0,-0.894776,95, 0.4, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1286.8424273338,2.952756,11,AutoTakeoff,
4300,2023-05-24 09:08:07,37.1814903160588,128.192822835905,3.28084,,,1287.1705113338,3.608924,0,0.41558728364,1.57597117904,15,5,16.915,1287.1705113338,3.28084,0.447388,0.41558728364,0,0,-0.894776,95, 0.2, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.1705113338,3.28084,11,AutoTakeoff,
4400,2023-05-24 09:08:07,37.1814901934126,128.192822813392,3.28084,,,1287.1705113338,3.608924,0,0.37596457896,1.6211942776,15,5,16.915,1287.1705113338,3.28084,0.447388,0.41558728364,0,0,-0.894776,94.9, 0, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.1705113338,3.28084,14,Waypoint,
4500,2023-05-24 09:08:07,37.1814902274002,128.192822761005,3.608924,,,1287.4985953338,3.608924,0,0.37661418528,1.64083338584,15,5,16.915,1287.4985953338,3.608924,0.447388,0.41558728364,0,0,-0.894776,94.9, -0.2, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.4985953338,3.608924,14,Waypoint,
4600,2023-05-24 09:08:07,37.181490330149,128.192822779842,3.608924,,,1287.4985953338,3.937008,0,0.41060368768,1.67872052616,15,5,16.915,1287.4985953338,3.608924,0.447388,0.41558728364,0,0,-1.11847,94.9, -0.3, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.4985953338,3.608924,14,Waypoint,
4700,2023-05-24 09:08:07,37.1814901479872,128.192822706749,3.937008,,,1287.8266793338,3.937008,0,0.34391077216,1.74849415044,15,5,16.915,1287.8266793338,3.937008,0.447388,0.41558728364,0,0,-1.11847,94.8, -0.2, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.8266793338,3.937008,14,Waypoint,
4800,2023-05-24 09:08:07,37.1814901771522,128.192822680628,3.937008,,,1287.8266793338,4.265092,0,0.348179145,1.76156829784,15,5,16.915,1287.8266793338,3.937008,0.447388,0.41558728364,0,0,-1.11847,94.8, 0, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.242,4.232,4.226,4.215,0,0,0,32,1287.8266793338,3.937008,14,Waypoint,
4900,2023-05-24 09:08:07,37.1814902081307,128.192822660981,4.265092,,,1288.1547633338,4.265092,0,0.35444883024,1.7742290594,15,5,16.788,1288.1547633338,4.265092,0.447388,0.41558728364,0,0,-1.11847,94.9, 0, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,94.2,0.4,0,96,4.207,4.199,4.196,4.186,0,0,0,32,1288.1547633338,4.265092,14,Waypoint,
